,Nitrification,Denitrification,Methanogenesis,SulfurReduction
OTU1,yes,no,yes,yes
OTU2,yes,yes,no,yes
OTU3,yes,yes,no,yes
OTU4,yes,no,no,yes
OTU5,yes,no,no,yes
OTU6,yes,yes,no,no
OTU7,yes,yes,no,yes
OTU8,yes,no,yes,no
OTU9,yes,yes,no,no
OTU10,yes,yes,yes,no
OTU11,yes,no,no,yes
OTU12,yes,no,no,no
OTU13,yes,no,no,no
OTU14,yes,yes,no,yes
OTU15,yes,no,no,no
OTU16,yes,yes,no,no
OTU17,yes,no,yes,yes
OTU18,yes,no,no,yes
OTU19,yes,no,no,no
OTU20,yes,no,no,no
OTU21,yes,no,no,yes
OTU22,yes,no,no,yes
OTU23,yes,yes,yes,no
OTU24,yes,no,no,no
OTU25,yes,yes,yes,no
OTU26,yes,yes,no,no
OTU27,yes,no,no,no
OTU28,yes,no,no,no
OTU29,yes,no,no,yes
OTU30,yes,no,yes,yes
OTU31,yes,no,yes,no
OTU32,yes,no,no,no
OTU33,yes,no,no,no
OTU34,yes,no,yes,no
OTU35,yes,yes,yes,yes
OTU36,yes,no,no,no
OTU37,yes,yes,yes,no
OTU38,yes,yes,no,yes
OTU39,yes,no,no,yes
OTU40,yes,yes,yes,no
OTU41,yes,no,yes,yes
OTU42,yes,no,no,no
OTU43,yes,no,no,yes
OTU44,yes,no,no,no
OTU45,yes,yes,no,yes
OTU46,yes,no,no,no
OTU47,yes,no,no,no
OTU48,yes,no,no,no
OTU49,yes,no,no,no
OTU50,yes,no,yes,no
OTU51,no,yes,no,yes
OTU52,no,no,no,no
OTU53,no,no,no,no
OTU54,no,no,no,no
OTU55,no,yes,yes,no
OTU56,no,no,no,yes
OTU57,yes,no,yes,yes
OTU58,yes,no,no,no
OTU59,yes,no,yes,no
OTU60,no,yes,yes,no
OTU61,no,no,yes,no
OTU62,yes,no,no,no
OTU63,no,yes,no,no
OTU64,no,no,no,yes
OTU65,yes,no,no,yes
OTU66,no,no,no,yes
OTU67,yes,no,yes,yes
OTU68,no,no,no,yes
OTU69,yes,no,yes,yes
OTU70,no,yes,no,yes
OTU71,no,no,yes,yes
OTU72,yes,no,no,no
OTU73,yes,no,yes,yes
OTU74,no,no,no,no
OTU75,no,no,no,no
OTU76,no,no,no,no
OTU77,no,no,yes,yes
OTU78,yes,no,no,no
OTU79,no,no,no,no
OTU80,yes,no,no,no
OTU81,no,no,no,no
OTU82,no,no,no,yes
OTU83,no,no,no,yes
OTU84,yes,yes,no,no
OTU85,no,no,no,no
OTU86,no,yes,no,no
OTU87,no,no,yes,no
OTU88,no,no,yes,yes
OTU89,no,yes,no,no
OTU90,no,no,no,yes
OTU91,yes,yes,no,no
OTU92,no,yes,no,no
OTU93,no,no,yes,no
OTU94,no,no,yes,yes
OTU95,no,yes,no,yes
OTU96,no,no,no,no
OTU97,no,no,no,yes
OTU98,no,yes,yes,no
OTU99,yes,no,no,yes
OTU100,yes,yes,no,no
OTU101,yes,yes,no,no
OTU102,no,no,no,yes
OTU103,no,no,no,no
OTU104,no,no,no,yes
OTU105,no,no,no,yes
OTU106,yes,no,yes,no
OTU107,no,no,no,no
OTU108,no,no,no,no
OTU109,yes,no,no,yes
OTU110,yes,yes,no,no
OTU111,yes,no,no,no
OTU112,yes,yes,no,no
OTU113,no,yes,no,no
OTU114,no,no,no,no
OTU115,no,no,yes,no
OTU116,no,no,yes,no
OTU117,no,no,no,no
OTU118,yes,yes,no,no
OTU119,no,yes,no,yes
OTU120,no,yes,yes,no
OTU121,no,no,no,no
OTU122,no,no,no,yes
OTU123,no,no,no,yes
OTU124,yes,yes,no,no
OTU125,yes,no,no,no
OTU126,no,no,no,no
OTU127,no,no,no,yes
OTU128,no,no,yes,no
OTU129,yes,no,yes,yes
OTU130,no,yes,no,yes
OTU131,no,no,no,yes
OTU132,yes,no,no,no
OTU133,yes,yes,no,no
OTU134,no,yes,no,no
OTU135,no,yes,no,no
OTU136,no,yes,no,no
OTU137,no,no,no,no
OTU138,no,no,yes,no
OTU139,no,no,no,no
OTU140,no,yes,yes,no
OTU141,no,no,no,no
OTU142,yes,no,no,no
OTU143,no,yes,yes,no
OTU144,no,no,no,no
OTU145,yes,no,no,yes
OTU146,yes,no,no,no
OTU147,no,no,yes,no
OTU148,no,yes,no,no
OTU149,yes,no,no,no
OTU150,yes,no,no,no
OTU151,no,no,no,yes
OTU152,yes,no,no,no
OTU153,yes,no,no,no
OTU154,no,yes,no,no
OTU155,no,yes,no,yes
OTU156,yes,no,no,no
OTU157,no,yes,yes,no
OTU158,no,no,yes,no
OTU159,yes,no,no,no
OTU160,no,no,no,no
OTU161,no,no,no,yes
OTU162,no,no,yes,no
OTU163,no,no,yes,yes
OTU164,no,no,yes,no
OTU165,yes,no,no,yes
OTU166,no,no,no,no
OTU167,no,no,no,no
OTU168,yes,no,no,no
OTU169,yes,yes,no,no
OTU170,no,yes,no,no
OTU171,no,yes,no,yes
OTU172,yes,yes,no,no
OTU173,no,yes,no,yes
OTU174,yes,no,no,no
OTU175,no,yes,no,no
OTU176,yes,no,no,yes
OTU177,no,no,yes,yes
OTU178,no,yes,no,no
OTU179,no,no,no,no
OTU180,yes,yes,yes,no
OTU181,no,yes,no,no
OTU182,yes,no,no,no
OTU183,no,no,no,yes
OTU184,no,no,no,no
OTU185,yes,no,no,yes
OTU186,no,no,yes,no
OTU187,no,yes,yes,no
OTU188,no,yes,yes,no
OTU189,no,no,yes,no
OTU190,yes,no,yes,no
OTU191,yes,no,yes,yes
OTU192,no,no,no,no
OTU193,no,no,yes,no
OTU194,no,no,no,no
OTU195,no,no,no,yes
OTU196,no,no,no,no
OTU197,no,no,no,no
OTU198,no,no,yes,no
OTU199,no,no,yes,no
OTU200,no,no,yes,no
